maid,latitude,longitude,timestamp,adjusted_longitude,adjusted_latitude
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79358,110.36595153808594,2021-12-05 13:43:35,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79357,110.36595916748048,2021-12-05 13:43:40,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.7935066,110.365966796875,2021-12-05 13:51:08,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79351,110.36595153808594,2021-12-05 13:51:58,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79349,110.36598205566406,2021-12-05 13:57:34,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79349,110.36597,2021-12-05 13:57:43,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79361,110.36592864990234,2021-12-05 14:03:34,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.793602,110.3659439086914,2021-12-05 14:03:43,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79346,110.36595,2021-12-05 14:10:19,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79344,110.36595153808594,2021-12-05 14:10:29,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.7935,110.36595,2021-12-05 14:18:18,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.793495,110.36595916748048,2021-12-05 14:18:28,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79344,110.36598,2021-12-05 14:24:35,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79343,110.36597,2021-12-05 14:24:39,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79343,110.36597,2021-12-05 14:24:39,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79342,110.36598,2021-12-05 14:24:49,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79345,110.36598,2021-12-05 14:32:33,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79346,110.36597,2021-12-05 14:32:44,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.7935,110.36595916748048,2021-12-05 14:34:36,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.7935,110.36595916748048,2021-12-05 14:34:36,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79345,110.36596,2021-12-05 14:39:37,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79346,110.36595153808594,2021-12-05 14:39:47,110.3658178,-7.7937552
